c Esto es un archivo con instancias para grafos. 
p did 100 9077
e 53 30 28 8
e 99 95 38 83
e 82 24 2 15
e 66 50 17 52
e 44 31 1 20
e 2 93 88 46
e 10 29 75 71
e 20 95 51 40
e 50 59 72 1
e 18 38 59 26
e 35 28 31 31
e 13 44 7 92
e 97 47 24 25
e 28 19 61 76
e 91 59 72 28
e 2 49 77 73
e 34 77 32 43
e 26 92 44 47
e 31 59 9 67
e 47 100 87 73
e 42 41 96 22
e 31 47 34 0
e 41 22 25 19
e 54 3 64 9
e 63 59 68 92
e 12 58 67 4
e 35 90 94 40
e 5 54 61 3
e 94 22 61 28
e 75 81 81 79
e 64 79 53 57
e 19 61 72 38
e 18 19 7 34
e 49 78 96 94
e 9 54 21 6
e 98 99 75 10
e 10 24 3 91
e 40 28 74 73
e 11 55 62 1
e 62 70 19 11
e 100 90 30 34
e 99 68 25 88
e 94 18 60 20
e 26 100 86 77
e 24 12 73 90
e 41 84 100 71
e 17 31 74 39
e 54 26 22 66
e 86 27 69 53
e 36 17 13 5
e 75 83 59 42
e 21 45 97 63
e 64 73 84 34
e 67 50 13 3
e 62 12 64 63
e 37 89 61 38
e 14 94 17 66
e 59 92 30 96
e 44 4 22 0
e 82 33 91 94
e 39 18 3 16
e 23 34 71 37
e 88 70 44 58
e 45 94 1 10
e 57 73 82 14
e 5 98 8 75
e 65 75 68 26
e 43 87 96 86
e 47 17 50 6
e 40 84 77 1
e 93 51 97 4
e 57 35 7 99
e 6 54 64 41
e 37 47 42 43
e 23 55 97 33
e 89 71 38 85
e 48 22 26 14
e 67 26 70 20
e 58 29 34 40
e 43 25 23 61
e 52 41 58 82
e 54 100 24 72
e 74 75 30 6
e 98 40 71 98
e 17 68 71 50
e 10 95 59 24
e 1 85 92 15
e 24 10 62 16
e 85 75 73 35
e 26 23 10 47
e 19 23 2 76
e 95 64 60 60
e 11 49 3 73
e 62 19 96 96
e 16 48 48 82
e 73 80 59 91
e 59 36 82 25
e 20 4 93 93
e 97 91 72 59
e 78 95 6 83
e 41 88 83 21
e 6 100 18 67
e 89 17 69 72
e 67 10 64 65
e 37 28 34 71
e 16 30 86 38
e 88 61 45 6
e 36 83 82 63
e 24 88 7 20
e 47 67 82 75
e 73 7 50 37
e 20 17 67 55
e 82 84 69 72
e 21 85 87 91
e 51 58 73 13
e 67 66 53 39
e 78 16 63 63
e 53 28 74 41
e 45 90 10 32
e 24 77 63 5
e 62 44 66 48
e 28 82 0 91
e 30 18 16 2
e 46 13 73 73
e 22 29 40 5
e 2 68 35 53
e 90 33 85 26
e 9 13 88 4
e 89 51 38 0
e 57 5 86 58
e 100 84 29 14
e 73 21 64 29
e 15 50 23 55
e 100 97 12 73
e 29 20 58 81
e 32 24 75 76
e 89 81 2 73
e 8 84 81 22
e 26 96 66 24
e 50 12 88 100
e 30 25 85 44
e 26 84 25 46
e 38 68 8 96
e 100 18 86 77
e 77 48 86 5
e 8 20 59 46
e 34 57 90 41
e 84 31 69 43
e 67 74 33 41
e 12 85 27 69
e 31 39 52 8
e 86 100 60 8
e 83 26 53 73
e 60 58 78 13
e 5 10 94 21
e 70 98 94 97
e 90 54 84 61
e 59 49 31 69
e 59 28 96 50
e 7 19 85 52
e 26 42 13 86
e 86 85 17 83
e 92 25 2 61
e 22 54 56 93
e 33 88 70 91
e 12 27 64 29
e 84 20 31 8
e 88 57 62 95
e 10 22 37 66
e 55 43 19 75
e 51 1 98 29
e 42 53 1 14
e 81 10 38 4
e 19 67 59 82
e 88 49 68 49
e 13 59 31 78
e 66 83 9 93
e 54 86 60 40
e 25 14 90 38
e 10 64 32 63
e 45 4 98 15
e 75 62 50 90
e 63 79 28 41
e 74 48 4 23
e 25 15 95 67
e 16 92 74 79
e 46 43 70 100
e 24 4 69 22
e 54 12 65 11
e 34 99 86 34
e 61 79 16 95
e 63 29 78 15
e 25 71 61 37
e 65 33 19 60
e 90 75 15 82
e 25 39 97 74
e 67 42 12 30
e 86 69 46 100
e 41 31 10 20
e 48 16 77 86
e 92 73 79 24
e 20 46 84 45
e 32 97 39 20
e 62 31 67 56
e 21 62 66 45
e 19 62 23 84
e 11 39 69 51
e 38 79 41 47
e 17 76 75 46
e 35 70 14 20
e 51 33 98 98
e 49 90 5 58
e 21 35 39 50
e 48 4 23 14
e 20 10 99 28
e 69 36 64 65
e 62 92 90 67
e 54 92 98 16
e 34 39 98 79
e 68 14 46 18
e 70 86 100 64
e 89 76 22 72
e 77 90 72 46
e 51 74 45 84
e 7 53 49 16
e 39 70 84 69
e 5 25 55 55
e 78 88 11 72
e 89 46 24 97
e 21 20 53 57
e 86 27 94 7
e 62 46 18 19
e 98 33 58 83
e 96 86 62 50
e 2 23 42 79
e 36 97 69 37
e 66 87 84 77
e 72 30 80 35
e 93 37 72 36
e 75 5 99 22
e 89 87 88 91
e 43 77 45 46
e 80 16 5 8
e 67 39 35 84
e 3 5 54 44
e 20 65 76 69
e 22 84 79 33
e 90 18 39 66
e 32 64 52 32
e 2 84 92 94
e 52 24 52 13
e 55 12 24 82
e 71 79 18 32
e 96 33 53 53
e 65 73 10 12
e 72 17 92 92
e 52 48 48 8
e 46 16 76 8
e 33 79 15 53
e 27 88 93 77
e 62 59 56 41
e 1 76 22 90
e 5 38 97 21
e 6 86 43 6
e 7 86 41 47
e 63 94 66 71
e 59 96 38 84
e 10 41 53 77
e 92 59 96 39
e 32 81 32 19
e 66 17 51 21
e 35 87 70 57
e 32 51 93 97
e 2 8 56 58
e 36 60 81 41
e 53 87 23 51
e 74 98 10 47
e 8 17 35 88
e 22 70 21 54
e 15 100 57 83
e 26 60 93 17
e 100 67 15 68
e 56 60 23 93
e 24 29 87 85
e 8 78 76 37
e 82 81 56 16
e 53 14 23 88
e 8 95 85 64
e 56 36 99 51
e 65 37 39 93
e 46 27 44 80
e 30 89 49 34
e 51 34 4 26
e 76 13 6 75
e 73 72 29 29
e 94 85 25 20
e 95 88 23 4
e 29 86 33 55
e 62 40 43 15
e 81 37 100 84
e 78 44 47 4
e 23 34 32 76
e 50 3 10 23
e 91 62 9 20
e 18 16 78 21
e 9 37 95 19
e 39 52 42 99
e 90 15 36 60
e 21 62 6 16
e 33 20 69 90
e 70 72 52 44
e 72 62 90 70
e 12 83 87 33
e 77 37 12 7
e 23 86 45 19
e 30 42 85 56
e 43 50 6 5
e 52 36 61 65
e 51 62 69 95
e 21 15 20 3
e 49 28 46 51
e 19 33 63 36
e 56 12 1 29
e 20 99 0 0
e 60 7 32 13
e 13 70 40 29
e 43 9 100 10
e 71 77 43 18
e 71 5 50 79
e 58 8 27 92
e 58 78 14 31
e 82 77 66 90
e 26 91 89 49
e 51 92 7 36
e 30 51 97 3
e 18 49 56 52
e 2 44 95 67
e 42 50 66 58
e 41 73 32 73
e 79 52 92 50
e 8 70 25 69
e 28 32 21 67
e 2 59 90 63
e 76 68 93 1
e 67 99 6 81
e 82 3 21 40
e 77 66 25 36
e 71 65 27 96
e 78 26 6 26
e 85 76 64 14
e 46 58 75 66
e 29 42 51 62
e 76 91 70 57
e 9 32 6 72
e 2 42 18 85
e 84 61 59 59
e 29 37 0 48
e 83 11 83 51
e 58 69 82 22
e 99 15 4 99
e 50 83 85 82
e 43 50 99 59
e 24 84 68 2
e 90 73 47 33
e 23 100 73 32
e 15 10 48 20
e 64 46 27 6
e 11 2 9 86
e 67 84 70 21
e 34 3 43 56
e 94 33 42 70
e 81 30 55 35
e 34 84 67 64
e 10 34 48 21
e 72 86 72 48
e 9 20 89 98
e 9 73 44 32
e 80 54 52 3
e 24 13 57 67
e 86 60 54 21
e 46 36 59 47
e 56 21 99 37
e 71 78 100 38
e 24 96 88 95
e 50 21 27 40
e 98 96 39 74
e 88 13 30 4
e 91 34 52 13
e 95 55 2 27
e 71 28 89 77
e 67 48 87 38
e 78 77 81 33
e 36 48 73 80
e 69 77 60 55
e 83 100 7 5
e 21 98 33 84
e 95 89 13 27
e 72 80 71 5
e 64 48 4 47
e 85 37 22 92
e 29 43 39 83
e 53 72 79 91
e 53 61 76 74
e 63 19 43 77
e 19 18 1 74
e 55 87 65 95
e 31 68 30 91
e 68 40 70 10
e 57 81 85 48
e 80 62 32 14
e 4 95 87 82
e 22 95 3 85
e 89 34 41 41
e 32 59 47 74
e 60 91 61 98
e 6 100 77 16
e 10 37 98 18
e 46 1 57 72
e 14 62 95 29
e 90 78 77 33
e 9 41 62 39
e 52 75 87 28
e 27 68 83 45
e 36 35 87 14
e 77 2 79 89
e 93 41 93 52
e 51 53 73 48
e 58 53 98 63
e 6 76 74 43
e 62 68 71 65
e 81 71 33 65
e 11 22 61 65
e 90 75 72 42
e 63 98 21 53
e 17 84 84 72
e 56 13 19 16
e 6 65 78 43
e 90 40 82 32
e 33 65 56 73
e 2 82 87 63
e 18 75 13 41
e 56 43 7 43
e 93 99 29 55
e 11 32 71 100
e 55 95 33 0
e 68 86 88 64
e 20 89 70 60
e 38 66 92 59
e 44 46 15 48
e 36 12 18 15
e 70 29 76 0
e 69 4 38 77
e 72 21 78 52
e 50 5 61 35
e 75 28 80 88
e 91 92 18 66
e 26 15 73 44
e 46 92 62 95
e 88 57 65 55
e 66 73 92 57
e 78 63 30 38
e 82 39 35 55
e 83 26 64 20
e 95 31 70 65
e 73 67 23 27
e 8 91 51 60
e 80 86 50 2
e 95 62 79 95
e 40 100 72 54
e 63 23 21 3
e 36 84 41 10
e 95 77 48 27
e 88 98 25 10
e 66 4 71 24
e 60 61 4 46
e 90 82 96 59
e 19 24 17 12
e 65 21 45 25
e 75 42 20 0
e 26 52 3 77
e 28 27 23 49
e 66 99 87 52
e 62 7 39 64
e 8 67 19 16
e 55 19 56 3
e 79 13 58 30
e 4 60 65 86
e 81 64 77 62
e 68 49 46 80
e 51 90 56 9
e 16 18 41 65
e 46 41 55 91
e 88 47 64 95
e 51 80 5 51
e 46 81 44 60
e 23 37 24 31
e 54 4 12 90
e 57 31 42 93
e 60 53 97 18
e 48 97 52 43
e 14 8 35 82
e 79 23 24 4
e 83 19 36 79
e 48 46 60 43
e 56 80 26 15
e 27 31 97 0
e 90 30 19 7
e 15 83 48 49
e 97 78 66 8
e 51 38 46 49
e 79 33 56 55
e 97 65 43 22
e 18 76 32 54
e 81 89 43 74
e 47 13 96 27
e 59 5 61 57
e 48 24 35 84
e 47 96 83 37
e 13 11 92 64
e 4 29 26 99
e 61 74 61 51
e 62 76 77 59
e 31 84 7 89
e 60 27 98 97
e 64 77 39 8
e 83 64 65 19
e 50 22 29 69
e 72 1 65 19
e 42 24 88 8
e 6 82 62 34
e 90 12 30 49
e 96 90 30 61
e 69 79 36 73
e 28 6 6 90
e 50 28 46 32
e 78 57 74 20
e 35 51 10 22
e 98 45 85 36
e 21 58 0 36
e 37 83 56 38
e 18 50 23 70
e 26 71 54 19
e 62 12 96 96
e 23 40 52 21
e 11 42 2 16
e 56 21 41 83
e 85 63 67 61
e 8 29 68 41
e 87 40 49 43
e 27 74 72 92
e 94 20 77 33
e 37 28 73 70
e 58 12 23 71
e 83 27 8 51
e 14 45 19 87
e 91 11 56 85
e 36 71 62 15
e 66 71 42 72
e 100 88 35 3
e 67 30 36 38
e 82 95 40 81
e 93 49 84 90
e 18 74 97 40
e 13 38 40 6
e 32 75 84 19
e 11 58 17 11
e 40 51 37 72
e 68 97 29 98
e 31 72 27 82
e 37 1 38 34
e 12 4 58 50
e 75 54 95 59
e 83 4 49 49
e 47 79 15 36
e 68 64 88 23
e 76 84 18 13
e 5 47 45 50
e 33 41 34 87
e 10 83 87 36
e 70 83 31 23
e 70 46 70 72
e 65 74 41 74
e 78 84 66 50
e 21 79 63 50
e 52 71 74 61
e 86 10 63 5
e 27 76 94 52
e 66 4 76 10
e 29 1 11 65
e 89 2 1 61
e 43 63 38 43
e 79 17 61 26
e 12 71 28 69
e 12 52 63 18
e 69 28 9 30
e 99 26 41 92
e 18 21 69 6
e 4 43 59 28
e 35 63 22 28
e 7 85 60 92
e 38 89 5 60
e 47 80 6 15
e 87 70 77 88
e 67 47 73 20
e 7 26 70 29
e 79 15 31 73
e 33 48 10 8
e 1 71 20 91
e 75 69 70 51
e 100 60 29 48
e 66 87 66 57
e 36 97 45 91
e 9 91 77 84
e 6 92 98 44
e 18 17 4 50
e 84 26 2 45
e 77 10 99 66
e 45 80 28 86
e 57 83 53 58
e 11 93 13 30
e 31 68 59 2
e 30 77 78 86
e 21 55 99 92
e 75 47 62 89
e 56 100 100 74
e 61 77 29 76
e 96 76 64 52
e 29 41 89 43
e 74 100 92 99
e 26 82 8 59
e 99 97 46 16
e 24 35 89 13
e 18 59 82 1
e 45 88 63 70
e 82 69 27 78
e 9 85 36 92
e 21 67 59 56
e 56 63 76 63
e 75 48 1 87
e 12 31 16 60
e 85 78 42 43
e 16 63 17 17
e 96 39 27 81
e 87 92 17 82
e 72 23 86 45
e 74 14 69 13
e 35 88 10 65
e 72 88 25 66
e 6 2 9 60
e 30 3 14 16
e 27 74 69 96
e 50 57 16 97
e 58 98 73 63
e 52 79 47 51
e 8 93 53 56
e 10 64 25 94
e 49 83 58 100
e 29 5 94 2
e 10 70 65 71
e 57 80 12 38
e 38 84 19 62
e 14 76 87 19
e 52 19 53 65
e 11 20 33 91
e 26 20 59 87
e 24 72 1 66
e 29 4 97 100
e 31 52 2 3
e 78 10 96 30
e 27 15 82 77
e 96 95 27 73
e 23 65 85 96
e 76 90 72 26
e 25 74 5 33
e 30 21 43 42
e 49 10 1 68
e 25 19 75 14
e 23 53 5 57
e 90 35 28 2
e 17 29 30 33
e 33 34 2 68
e 50 51 91 94
e 45 7 9 62
e 98 44 69 37
e 47 44 12 34
e 26 47 73 52
e 29 19 67 36
e 40 45 67 17
e 2 86 88 72
e 36 95 97 81
e 20 78 34 55
e 71 35 46 15
e 73 52 31 82
e 36 19 60 7
e 47 77 88 24
e 56 31 87 71
e 64 94 68 51
e 9 12 11 7
e 64 66 70 41
e 38 9 78 73
e 98 2 50 14
e 32 69 67 12
e 90 11 16 75
e 54 26 39 79
e 30 55 54 77
e 85 1 12 72
e 13 14 1 79
e 71 42 71 28
e 85 77 30 46
e 77 71 50 23
e 54 21 4 97
e 43 25 50 0
e 29 45 37 13
e 54 45 96 63
e 13 68 63 94
e 89 92 21 4
e 23 74 9 50
e 58 48 29 37
e 91 72 24 17
e 29 87 100 5
e 8 30 8 91
e 6 43 37 21
e 57 28 57 85
e 71 61 48 27
e 7 74 63 21
e 65 45 50 81
e 85 22 48 51
e 77 48 39 27
e 85 99 36 59
e 69 18 49 20
e 38 74 53 88
e 80 78 46 56
e 73 21 64 61
e 56 43 88 17
e 84 91 3 19
e 87 48 65 32
e 26 92 4 31
e 39 13 59 70
e 88 78 83 13
e 93 67 64 62
e 19 100 29 61
e 29 9 79 32
e 67 32 46 82
e 34 12 44 76
e 68 69 74 38
e 20 41 92 89
e 50 95 91 38
e 44 25 45 90
e 83 22 30 27
e 12 32 44 51
e 82 77 11 10
e 82 70 31 72
e 86 56 59 36
e 95 20 27 20
e 28 17 76 65
e 31 87 73 8
e 40 83 78 100
e 64 78 88 97
e 62 63 28 1
e 8 90 86 30
e 7 17 58 0
e 66 37 59 91
e 36 86 34 97
e 79 27 91 69
e 50 3 12 86
e 61 31 64 58
e 44 72 33 55
e 1 68 26 62
e 56 89 78 83
e 24 67 4 68
e 45 96 98 21
e 36 57 77 90
e 55 24 40 69
e 33 93 0 88
e 39 37 100 83
e 61 4 87 13
e 36 95 3 26
e 60 61 9 59
e 85 11 51 20
e 82 9 27 26
e 1 31 92 25
e 63 73 78 89
e 5 60 84 31
e 60 24 14 42
e 48 45 57 28
e 65 79 90 4
e 20 44 26 75
e 23 13 55 22
e 57 3 25 34
e 54 25 23 70
e 90 85 44 73
e 55 1 23 53
e 65 32 36 40
e 62 84 31 43
e 44 45 15 47
e 33 57 95 47
e 16 20 50 23
e 60 37 5 65
e 72 16 95 72
e 80 15 8 87
e 59 62 65 43
e 6 67 88 100
e 37 78 79 26
e 38 33 32 30
e 67 44 4 32
e 81 49 75 63
e 53 56 59 51
e 25 5 68 20
e 23 85 54 73
e 37 30 72 35
e 9 81 46 52
e 43 50 63 90
e 6 99 57 97
e 7 2 97 52
e 18 63 53 0
e 82 20 93 68
e 57 18 81 66
e 49 28 70 84
e 77 5 84 33
e 5 94 96 94
e 57 49 85 10
e 47 54 15 31
e 82 23 94 60
e 97 32 55 53
e 54 57 47 38
e 89 93 93 95
e 75 91 14 28
e 48 67 84 56
e 97 64 4 53
e 27 44 70 75
e 68 50 23 78
e 63 59 78 79
e 57 11 12 67
e 73 57 54 8
e 50 38 89 67
e 60 80 48 52
e 49 96 48 47
e 77 68 28 38
e 35 30 71 53
e 76 4 30 39
e 71 23 64 17
e 93 21 62 4
e 48 41 30 39
e 20 100 54 77
e 73 4 12 100
e 47 42 81 66
e 27 1 100 99
e 27 55 11 17
e 12 30 22 65
e 99 29 56 5
e 19 50 51 49
e 81 64 70 24
e 30 72 78 20
e 76 60 60 91
e 90 42 22 100
e 97 77 87 94
e 27 64 42 64
e 68 70 64 7
e 43 8 18 92
e 53 36 54 73
e 78 60 1 52
e 54 91 36 2
e 92 29 63 70
e 80 44 12 49
e 89 31 26 84
e 25 31 1 44
e 53 42 50 93
e 52 62 15 4
e 49 45 58 94
e 63 13 99 46
e 43 92 74 24
e 92 99 38 64
e 1 13 5 56
e 8 21 45 9
e 33 10 47 22
e 36 5 8 70
e 19 6 64 77
e 57 73 90 53
e 24 60 95 79
e 60 39 12 14
e 12 25 20 62
e 88 34 7 17
e 67 37 48 2
e 67 56 5 78
e 93 35 96 53
e 86 100 24 34
e 98 48 11 77
e 31 18 37 43
e 23 37 97 52
e 12 48 15 6
e 53 11 81 58
e 70 78 31 61
e 64 1 19 82
e 19 59 66 91
e 61 79 91 49
e 49 86 21 75
e 78 33 36 24
e 80 68 92 31
e 42 52 20 45
e 5 9 36 95
e 4 66 91 58
e 28 59 19 57
e 68 52 47 45
e 77 64 15 4
e 3 21 23 61
e 42 30 39 84
e 64 95 31 39
e 9 89 17 87
e 38 59 88 2
e 99 73 62 21
e 74 7 87 34
e 72 7 13 98
e 32 24 86 52
e 98 14 7 48
e 13 18 80 16
e 4 8 51 15
e 43 22 80 61
e 97 91 56 77
e 16 96 52 7
e 82 70 91 51
e 58 87 9 77
e 17 72 45 72
e 64 76 10 99
e 27 53 74 13
e 67 33 51 29
e 60 44 39 99
e 92 12 87 41
e 51 56 74 57
e 41 74 87 49
e 44 38 26 19
e 32 96 2 75
e 43 99 75 38
e 25 41 25 2
e 53 97 90 62
e 76 10 2 18
e 68 36 77 13
e 7 19 19 44
e 17 93 50 75
e 80 1 71 11
e 72 79 75 84
e 15 1 46 73
e 80 49 72 24
e 72 98 19 51
e 72 66 43 22
e 8 44 4 97
e 83 16 44 91
e 50 24 48 75
e 13 39 19 22
e 24 4 15 82
e 17 35 80 52
e 97 78 40 22
e 17 4 89 55
e 48 30 48 55
e 51 23 11 34
e 63 97 36 21
e 55 81 76 69
e 28 1 20 60
e 77 90 96 98
e 1 61 20 74
e 52 4 25 72
e 27 45 32 85
e 40 62 31 91
e 73 32 88 14
e 11 19 38 65
e 49 38 92 27
e 32 76 22 71
e 37 18 40 95
e 76 42 64 15
e 56 70 6 39
e 47 39 44 71
e 88 33 92 27
e 21 57 47 88
e 82 7 28 49
e 62 14 47 89
e 66 20 100 26
e 33 58 44 78
e 6 78 24 4
e 50 41 21 98
e 84 88 24 100
e 44 15 71 21
e 52 93 89 87
e 31 66 36 69
e 44 49 32 12
e 15 26 26 95
e 38 60 31 63
e 61 23 91 63
e 86 42 44 55
e 75 7 10 65
e 51 59 48 56
e 50 62 70 89
e 87 61 20 41
e 11 96 25 28
e 88 40 70 69
e 78 21 3 99
e 59 57 10 65
e 56 64 52 82
e 41 6 9 25
e 24 52 96 60
e 24 42 94 12
e 61 84 10 98
e 65 85 63 46
e 20 7 37 97
e 75 80 89 33
e 60 11 5 9
e 33 1 27 96
e 21 2 90 33
e 25 48 57 64
e 40 17 87 2
e 89 88 10 85
e 41 62 22 96
e 3 38 90 26
e 43 39 17 42
e 17 48 25 36
e 56 3 13 92
e 23 56 52 2
e 71 94 44 46
e 40 98 51 27
e 80 66 11 32
e 17 54 47 15
e 40 12 45 7
e 79 65 84 81
e 85 99 90 7
e 84 44 60 34
e 41 58 11 48
e 48 95 49 69
e 48 69 9 67
e 91 64 84 89
e 84 10 6 83
e 90 82 88 43
e 42 14 76 1
e 76 21 75 1
e 91 28 22 76
e 66 46 22 18
e 53 77 94 26
e 97 79 68 52
e 73 23 40 33
e 29 16 61 17
e 70 15 11 54
e 32 67 52 2
e 56 34 69 2
e 99 77 80 15
e 10 79 86 47
e 5 26 38 28
e 71 100 72 33
e 77 8 23 9
e 35 63 10 71
e 67 43 99 40
e 78 27 77 34
e 88 37 83 69
e 91 2 3 71
e 3 99 65 13
e 47 5 31 88
e 40 34 93 86
e 98 28 66 23
e 13 75 15 47
e 78 38 88 81
e 54 13 34 55
e 9 75 33 45
e 92 44 11 7
e 9 36 22 57
e 83 64 2 98
e 75 53 66 92
e 6 38 46 45
e 99 91 25 86
e 68 37 4 11
e 94 75 41 61
e 67 18 67 24
e 12 1 65 50
e 19 93 3 41
e 87 6 27 28
e 79 89 73 26
e 11 3 82 1
e 87 50 67 9
e 38 99 52 22
e 27 62 15 17
e 67 31 96 18
e 36 98 9 69
e 40 42 29 88
e 36 59 4 17
e 42 35 65 6
e 45 35 70 62
e 52 81 18 91
e 10 8 19 55
e 45 9 89 63
e 4 6 2 81
e 66 82 46 12
e 63 85 91 71
e 37 96 49 21
e 77 79 21 12
e 51 41 53 31
e 11 26 20 76
e 71 92 73 67
e 37 22 69 26
e 25 68 55 36
e 87 55 16 11
e 91 81 72 26
e 99 46 98 73
e 1 30 15 55
e 46 76 3 54
e 59 63 24 83
e 15 65 57 40
e 68 43 44 4
e 81 16 2 86
e 14 38 19 87
e 56 33 74 51
e 82 16 96 98
e 66 68 54 14
e 87 18 8 63
e 52 17 55 28
e 45 95 36 26
e 11 8 6 70
e 22 78 42 9
e 24 1 92 41
e 88 4 29 25
e 4 84 76 39
e 17 87 51 69
e 97 24 50 24
e 2 12 7 1
e 84 82 14 67
e 98 86 1 23
e 78 77 50 63
e 13 49 41 55
e 70 96 57 44
e 76 69 56 63
e 27 29 57 49
e 36 64 31 65
e 22 71 9 30
e 24 70 60 38
e 11 46 43 67
e 48 83 37 99
e 83 54 76 2
e 56 18 38 42
e 14 70 24 38
e 96 26 98 42
e 52 62 13 0
e 83 75 77 71
e 79 4 60 89
e 80 85 88 76
e 45 29 23 87
e 92 36 65 75
e 42 34 81 40
e 61 75 26 11
e 23 43 16 61
e 48 18 78 49
e 83 39 55 78
e 83 26 43 36
e 21 56 7 38
e 87 79 69 20
e 63 10 76 72
e 52 76 20 32
e 14 18 57 55
e 89 43 65 91
e 20 27 31 70
e 24 28 15 78
e 37 82 32 67
e 7 47 77 62
e 100 33 5 56
e 78 64 60 44
e 53 7 20 98
e 31 3 14 30
e 86 10 48 55
e 68 39 68 45
e 44 74 67 71
e 12 75 85 61
e 47 36 5 78
e 64 39 59 99
e 24 72 1 37
e 72 45 74 27
e 58 66 78 98
e 77 7 54 34
e 51 11 81 39
e 99 73 41 5
e 6 80 67 38
e 34 85 83 65
e 1 85 48 16
e 64 72 12 29
e 1 77 26 17
e 33 98 77 9
e 60 8 31 85
e 82 39 52 79
e 30 95 65 98
e 5 98 0 38
e 41 67 15 69
e 50 17 48 6
e 26 61 37 26
e 56 23 92 42
e 46 85 48 33
e 56 1 50 50
e 22 70 92 29
e 25 5 4 5
e 65 20 41 18
e 30 18 0 72
e 95 4 94 93
e 24 87 9 21
e 63 4 66 51
e 46 13 6 84
e 56 22 61 56
e 15 92 20 45
e 14 51 63 41
e 51 17 46 15
e 66 87 50 49
e 99 71 69 14
e 29 37 73 45
e 57 56 5 73
e 6 92 49 59
e 76 14 52 30
e 95 70 66 69
e 27 52 1 24
e 98 22 74 1
e 67 84 88 84
e 20 24 82 14
e 13 65 84 55
e 2 13 68 83
e 77 2 77 19
e 64 56 94 18
e 62 23 59 34
e 81 66 60 74
e 91 98 57 85
e 26 15 73 77
e 24 75 91 14
e 60 98 88 30
e 44 25 98 80
e 45 61 27 33
e 77 100 18 82
e 87 6 88 64
e 82 96 48 1
e 19 95 69 32
e 2 42 40 25
e 38 87 36 93
e 99 80 8 18
e 52 96 56 33
e 93 43 85 48
e 27 75 94 67
e 85 23 56 43
e 50 52 21 60
e 4 26 7 46
e 80 78 58 25
e 59 100 72 19
e 68 37 19 2
e 33 4 69 45
e 93 52 81 14
e 100 11 28 42
e 7 21 37 40
e 24 35 16 87
e 3 95 66 67
e 85 40 11 45
e 87 24 83 97
e 68 10 8 81
e 37 64 89 88
e 7 59 86 68
e 38 43 34 74
e 41 61 28 29
e 72 14 59 53
e 17 56 73 42
e 21 17 0 53
e 80 74 58 47
e 15 94 71 70
e 86 22 15 42
e 93 62 53 90
e 25 23 73 64
e 76 1 32 9
e 84 58 6 94
e 85 37 70 61
e 37 92 50 96
e 46 47 45 65
e 17 52 27 20
e 58 87 67 20
e 48 4 86 84
e 96 48 15 15
e 80 95 78 23
e 88 61 74 11
e 79 22 56 30
e 13 94 26 86
e 28 16 58 98
e 64 79 45 90
e 55 76 33 60
e 79 49 13 25
e 83 17 71 89
e 85 4 88 14
e 23 83 11 23
e 27 15 34 58
e 32 39 32 50
e 41 86 82 52
e 5 49 33 23
e 81 35 31 90
e 84 32 14 81
e 58 40 89 22
e 29 33 95 12
e 69 3 83 52
e 93 3 25 71
e 51 73 16 1
e 96 53 89 59
e 98 83 98 15
e 26 98 44 36
e 58 59 56 40
e 15 78 1 54
e 93 25 12 18
e 69 14 16 0
e 40 98 82 70
e 32 45 16 53
e 90 47 6 91
e 91 99 35 60
e 21 16 61 60
e 72 40 43 55
e 10 63 46 56
e 100 27 64 44
e 17 44 26 58
e 68 29 88 90
e 33 22 81 69
e 62 32 24 55
e 33 59 35 64
e 84 95 44 26
e 99 28 79 89
e 76 87 78 80
e 31 28 43 51
e 24 85 47 99
e 59 95 80 8
e 34 8 73 60
e 73 37 74 97
e 97 46 91 60
e 4 53 99 34
e 19 70 94 3
e 25 3 38 81
e 96 22 64 19
e 18 8 6 19
e 85 15 50 15
e 62 79 55 22
e 97 14 72 30
e 29 61 70 29
e 50 40 98 10
e 67 2 69 91
e 46 2 26 37
e 23 86 11 14
e 17 73 23 95
e 67 20 44 10
e 38 87 80 8
e 78 90 44 37
e 29 36 100 41
e 71 36 54 4
e 34 9 21 36
e 71 14 6 40
e 1 67 57 2
e 25 96 40 1
e 55 34 3 83
e 41 4 27 94
e 16 38 87 24
e 36 26 39 21
e 69 16 88 13
e 77 43 12 52
e 31 61 42 59
e 67 7 82 73
e 1 58 58 66
e 63 38 87 43
e 73 41 89 82
e 24 1 65 100
e 35 57 80 100
e 27 40 34 49
e 77 82 20 66
e 10 75 61 17
e 68 83 79 39
e 89 91 0 27
e 65 56 62 89
e 17 75 60 42
e 96 58 96 31
e 8 30 41 96
e 41 59 39 38
e 76 6 49 63
e 10 51 86 51
e 17 92 41 10
e 17 39 15 60
e 54 89 81 48
e 62 12 52 43
e 8 91 82 17
e 2 44 50 56
e 32 63 17 22
e 15 29 39 87
e 43 48 49 98
e 93 27 14 94
e 51 66 57 38
e 42 71 75 61
e 5 57 18 0
e 91 60 60 45
e 77 67 97 29
e 16 50 100 47
e 75 52 98 43
e 1 92 76 93
e 18 23 98 11
e 87 30 22 59
e 95 15 38 79
e 50 42 85 82
e 2 6 11 86
e 93 5 91 82
e 41 40 11 10
e 82 67 53 1
e 86 25 63 0
e 60 34 38 30
e 79 2 24 81
